"Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Date","Period"
"Coal Oil Point",30,0.3,0.68,15,0.15,0.8,"12-12-2012","Pre-SSWD"
"Coal Oil Point",63,0.63,1.42,29,0.29,1.55,"06-27-2013","Pre-SSWD"
"Coal Oil Point",40,0.4,0.9,12,0.12,0.64,"06-27-2013","Pre-SSWD"
"Coal Oil Point",67,0.67,1.51,16,0.16,0.86,"11-19-2013","Post-SSWD"
"Coal Oil Point",0,0,0,0,0,0,"01-31-2014","Post-SSWD"
"Coal Oil Point",1,0.01,0.02,0,0,0,"12-11-2016","Post-SSWD"
"Coal Oil Point",0,0,0,0,0,0,"05-12-2019","Post-SSWD"
