"Year","Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Mussel_Abundance","Acorn_Barnacle_Abundance","Period"
2012,"Coal Oil Point",44.33,0.44,1,18.67,0.19,1,0.55,1.25,"Pre-SSWD"
2013,"Coal Oil Point",33.5,0.34,0.76,8,0.08,0.43,NA,NA,"Post-SSWD"
2014,"Coal Oil Point",NA,NA,NA,NA,NA,NA,NA,NA,"Post-SSWD"
2015,"Coal Oil Point",NA,NA,NA,NA,NA,NA,19,20,"Post-SSWD"
2016,"Coal Oil Point",1,0.01,0.02,0,0,0,NA,NA,"Post-SSWD"
2017,"Coal Oil Point",NA,NA,NA,NA,NA,NA,NA,NA,"Post-SSWD"
2018,"Coal Oil Point",0,0,0,0,0,0,NA,NA,"Post-SSWD"
