"Year","Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Mussel_Abundance","Acorn_Barnacle_Abundance","Period"
2011,"Wilder Ranch",28,1.87,1,17,1.13,1,13.62,11.45,"Pre-SSWD"
2012,"Wilder Ranch",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2013,"Wilder Ranch",3.25,0.22,0.12,0.5,0.03,0.03,15.89,14.49,"Post-SSWD"
2014,"Wilder Ranch",5,0.33,0.18,2,0.13,0.12,12.64,14.28,"Post-SSWD"
